"product_id","title","brand","source","rating","reviews","price","extracted_price","old_price","extracted_old_price","climate_pledge_friendly","rating_numeric","reviews_numeric","ram_gb","display_inches","processor_type","graphics","os","is_refurbished","is_gaming","is_2in1","storage_gb","price_category","rating_category","price_per_ram","price_per_storage","value_score","popularity_tier","product_tier","brand_category","is_sponsored","popularity","product_type","brand_tier"
"1925547370","hp envy x360 15.6 inch fhd touch 2-in-1 windows laptop intel core i5-1335u 8gb ram 512gb ssd mineral silver","HP","Walmart","4.5","122","$568.98",568.98,"$629.99",629.99,"",4.5,122,8,15.6,"Intel Core i5","Unknown","Windows",FALSE,FALSE,TRUE,512,"Mid-Range ($500-$1k)","Good (4.0-4.5)",71.1225,1.1112890625,126.44,"Medium (100-999)","2-in-1/Convertible","Premium Brand",FALSE,"Popular","2-in-1 Convertible","Premium"
"5641756327","lenovo - yoga 7i 2-in-1 16"" 2k touchscreen laptop - intel core ultra 7 155u with 16gb memory - 1tb ssd - storm grey","Lenovo","Walmart","0.0","0","$779.99",779.99,"N/A",0,"",0,0,16,16,"Intel Other","Unknown","Unknown",FALSE,FALSE,TRUE,1024,"Mid-Range ($500-$1k)",NA,48.749375,0.761708984375,NA,"Very Low (<10)","2-in-1/Convertible","Premium Brand",FALSE,"No Reviews","2-in-1 Convertible","Premium"
"16401519615","hp 15.6 inch fhd ips touch windows laptop intel core i5-1334u 8gb 512gb ssd natural silver","HP","Walmart","4.0","568","$299.00",299,"N/A",0,"",4,568,NA,15.6,"Intel Core i5","Unknown","Windows",FALSE,FALSE,FALSE,512,"Budget (<$500)","Average (3.5-4.0)",NA,0.583984375,74.75,"Medium (100-999)","Standard","Premium Brand",FALSE,"Popular","Budget Laptop","Premium"
"1720087431","chuwi minibook x 10.51"" 360° touchscreen laptop 512gb ssd 12gb ram,12th gen intel alder lake n100(up to 3.4ghz),windows 11,2 in 1 tablet notebook computer+mouse,1tb ssd expand","CHUWI","Walmart","4.2","136","$325.89",325.89,"$389.99",389.99,"",4.2,136,12,10.51,"Intel Other","Unknown","Windows 11",FALSE,FALSE,TRUE,1024,"Budget (<$500)","Good (4.0-4.5)",27.1575,0.318251953125,77.5928571428571,"Medium (100-999)","2-in-1/Convertible","Budget Chinese",FALSE,"Popular","2-in-1 Convertible","Budget"
"17558808144","hp 2025 omnibook x flip 2-in-1 laptop, 16"" wuxga touchscreen, amd ryzen 5 (6-core up to 4.9 ghz), 8gb ram, 2tb ssd, backlit, usb-c, stylus, lifetime office, mytrix headset, windows 11 home","HP","Walmart","3.0","2","$649.99",649.99,"$719.99",719.99,"",3,2,8,16,"AMD Ryzen 5","Unknown","Windows 11",FALSE,FALSE,TRUE,2048,"Mid-Range ($500-$1k)","Poor (<3.5)",81.24875,0.3173779296875,216.663333333333,"Very Low (<10)","2-in-1/Convertible","Premium Brand",FALSE,"Few Reviews","2-in-1 Convertible","Premium"
"1452076303","lenovo ideapad flex 5 16"" 2-in-1 touchscreen laptop - intel core i7 12th gen 1255u 16gb ram 512gb ssd windows 11 home, lenovo premium care, 82r80002us","Lenovo","Walmart","4.4","106","$778.90",778.9,"N/A",0,"",4.4,106,16,16,"Intel Core i7","Unknown","Windows 11",FALSE,FALSE,TRUE,512,"Mid-Range ($500-$1k)","Good (4.0-4.5)",48.68125,1.5212890625,177.022727272727,"Medium (100-999)","2-in-1/Convertible","Premium Brand",FALSE,"Popular","2-in-1 Convertible","Premium"
"5030227317","hp pavilion x360 2-in-1 laptop, 14"" fhd touchscreen, intel core i5-1235u, 32gb ram, 2tb ssd, webcam, hp stylus pen, fp reader, wi-fi 6, windows 11 home","HP","Walmart","0.0","0","N/A",NA,"N/A",0,"",0,0,32,14,"Intel Core i5","Unknown","Windows 11",FALSE,FALSE,TRUE,2048,NA,NA,NA,NA,NA,"Very Low (<10)","2-in-1/Convertible","Premium Brand",FALSE,"No Reviews","2-in-1 Convertible","Premium"
"170639798","microsoft - surface book 2 2-in-1 13.5"" touch-screen laptop - intel core i5 - 8gb memory - 128gb solid state drive - silver notebook pc computer touchscreen hmu-00001","Microsoft","Walmart","3.5","2","$799.00",799,"N/A",0,"",3.5,2,8,13.5,"Intel Core i5","Unknown","Unknown",FALSE,FALSE,TRUE,128,"Mid-Range ($500-$1k)","Poor (<3.5)",99.875,6.2421875,228.285714285714,"Very Low (<10)","2-in-1/Convertible","Premium Brand",FALSE,"Few Reviews","2-in-1 Convertible","Premium"
"16246813127","restored dell latitude 9520 15.0 fhd 2-in-1 touchscreen laptop intel core i7 16gb ram 256gb ssd windows 11 pro, silver (refurbished)","Dell","Walmart","0.0","0","$360.99",360.99,"$379.99",379.99,"",0,0,16,15,"Intel Core i7","Unknown","Windows 11",TRUE,FALSE,TRUE,256,"Budget (<$500)",NA,22.561875,1.4101171875,NA,"Very Low (<10)","2-in-1/Convertible","Premium Brand",FALSE,"No Reviews","2-in-1 Convertible","Premium"
"17583160737","dell 14 plus 2-in-1 copilot+ ai pc laptop, 14"" fhd+ 1920 x 1200 led touchscreen, intel 8-core ultra 7 256v, 1080p webcam, backlit kb, stylus pen, win11 pro (16gb ddr5 ram - 1tb ssd)","Dell","Walmart","5.0","1","$869.08",869.08,"$949.99",949.99,"",5,1,16,14,"Intel Other","Unknown","Unknown",FALSE,FALSE,TRUE,1024,"Mid-Range ($500-$1k)","Excellent (4.5-5)",54.3175,0.8487109375,173.816,"Very Low (<10)","2-in-1/Convertible","Premium Brand",FALSE,"Few Reviews","2-in-1 Convertible","Premium"
"17220920660","lenovo yoga 7 2-in-1 ai laptop, 16"" 2k lcd touchscreen, amd ryzen ai 5 340, backlit kb, fhd webcam, stylus pen, win 11 home(16gb ddr5 ram·1tb ssd)","Lenovo","Walmart","0.0","0","$759.99",759.99,"N/A",0,"",0,0,16,16,"AMD Other","Unknown","Windows 11",FALSE,FALSE,TRUE,1024,"Mid-Range ($500-$1k)",NA,47.499375,0.742177734375,NA,"Very Low (<10)","2-in-1/Convertible","Premium Brand",FALSE,"No Reviews","2-in-1 Convertible","Premium"
"5732559452","hp - envy 2-in-1 16"" 2k touch-screen laptop - amd ryzen 5 - 8gb memory - 512gb ssd - meteor silver 9r8r9ua","HP","Walmart","0.0","0","$539.02",539.02,"N/A",0,"",0,0,8,16,"AMD Ryzen 5","Unknown","Unknown",FALSE,FALSE,TRUE,512,"Mid-Range ($500-$1k)",NA,67.3775,1.0527734375,NA,"Very Low (<10)","2-in-1/Convertible","Premium Brand",FALSE,"No Reviews","2-in-1 Convertible","Premium"
"17422302711","restored hp 14a g5 touchscreen chromebook pc | amd a4-9120c (1.6 ghz) | 8gb ram | 32gb ssd","HP","Walmart","3.7","6","$127.00",127,"N/A",0,"",3.7,6,8,NA,"AMD Other","Unknown","Chrome OS",TRUE,FALSE,TRUE,NA,"Budget (<$500)","Average (3.5-4.0)",15.875,NA,34.3243243243243,"Very Low (<10)","2-in-1/Convertible","Premium Brand",FALSE,"Few Reviews","2-in-1 Convertible","Premium"
"16523973539","restored lenovo 300e 2-in-1 | 11.6-inch chromebook | 4gb ram 32gb storage | 2027 latest chrome os |bundled with: alloy wireless mouse and mousepad","Lenovo","Walmart","3.5","33","$99.99",99.99,"N/A",0,"",3.5,33,4,11.6,"Unknown","Unknown","Chrome OS",TRUE,FALSE,TRUE,NA,"Budget (<$500)","Poor (<3.5)",24.9975,NA,28.5685714285714,"Low (10-99)","2-in-1/Convertible","Premium Brand",FALSE,"Some Reviews","2-in-1 Convertible","Premium"
"13608208811","dell 3100 11.6"" chromebook n4020 4gb 16gb emmc chrome os black vkp06","Dell","Walmart","4.4","7","$65.99",65.99,"N/A",0,"",4.4,7,4,11.6,"Unknown","Unknown","Chrome OS",FALSE,FALSE,FALSE,NA,"Budget (<$500)","Good (4.0-4.5)",16.4975,NA,14.9977272727273,"Very Low (<10)","Standard","Premium Brand",FALSE,"Few Reviews","Budget Laptop","Premium"
"3193557250","acer chromebook 315 15.6 inch laptop intel processor n4500 4gb ram 64gb emmc pure silver, chromeos","Acer","Walmart","4.4","12421","$129.00",129,"$229.00",229,"",4.4,12421,4,15.6,"Intel Other","Unknown","Chrome OS",FALSE,FALSE,FALSE,64,"Budget (<$500)","Good (4.0-4.5)",32.25,2.015625,29.3181818181818,"Very High (>10k)","Standard","Mid-Tier Brand",FALSE,"Very Popular","Budget Laptop","Mid"
"445303836","restored lenovo 300e chromebook 2nd gen, 11.6\"" hd, touchscreen, intel celeron n4020, intel uhd graphics 600, 4gb ram, 32gb flash, black, chrome os, 81mb0066us","Lenovo","Walmart","4.5","2","$54.00",54,"N/A",0,"",4.5,2,4,NA,"Intel Other","Unknown","Chrome OS",TRUE,FALSE,TRUE,NA,"Budget (<$500)","Good (4.0-4.5)",13.5,NA,12,"Very Low (<10)","2-in-1/Convertible","Premium Brand",FALSE,"Few Reviews","2-in-1 Convertible","Premium"
"18126702321","restored dell chromebook 11 3100 11.6"" celeron 1.1ghz 4gb ram 32gb ssd - non touch","Dell","Walmart","4.0","3","$40.37",40.37,"N/A",0,"",4,3,4,11.6,"Unknown","Unknown","Chrome OS",TRUE,FALSE,FALSE,NA,"Budget (<$500)","Average (3.5-4.0)",10.0925,NA,10.0925,"Very Low (<10)","Standard","Premium Brand",FALSE,"Few Reviews","Budget Laptop","Premium"
