combined_id,source,product_id,position,sponsored,brand_final,title,rating,reviews,price,extracted_price,old_price,extracted_old_price,delivery,free_shipping,in_stock,seller,climate_pledge_friendly,search_query,page_fetched
Amazon_B0D3JLHQ8K,Amazon,B0D3JLHQ8K,16,False,Lenovo,"Lenovo V-Series V15 Business Laptop, 15.6"" FHD Display, AMD Ryzen 7 7730U, 40GB RAM, 1TB SSD, Numeric Keypad, HDMI, RJ45, Webcam, Wi-Fi, Windows 11 Pro, Black",4.3,570,$649.00,649.0,$709.00,709.0,"['FREE delivery Dec 28, 2025 - Jan 11, 2026', 'Or fastest delivery Dec 30, 2025 - Jan 8, 2026']",,,,False,business laptop,1
Amazon_B0DW5VTZXY,Amazon,B0DW5VTZXY,17,True,HP,"HP 15.6"" Touchscreen Business Laptop, 32GB RAM 1.5TB Storage (1TB SSD+512GB Docking Station Set), 6-Cores Intel Core i3, Windows 11 Pro with Microsoft Office Included, PLUSERA Earphones, Silver",4.5,191,$649.98,649.98,N/A,0.0,"['FREE delivery Wed, Dec 17']",,,,False,business laptop,1
Amazon_B0FCG6BT2D,Amazon,B0FCG6BT2D,18,False,Lenovo,"Lenovo V15 Business Laptop | 15.6"" FHD Anti-Glare | Intel Core i7-13620H | 40GB RAM | 1TB SSD | HDMI | Numeric Keypad | Webcam | Wi-Fi 6 | Windows 11 Pro | Bundle with Thunderobot Wireless Mouse",4.6,58,$769.00,769.0,N/A,0.0,"['FREE delivery Mon, Dec 15']",,,,False,business laptop,1
Amazon_B0DWPQDLM5,Amazon,B0DWPQDLM5,19,False,HP,"HP 17.3 inch Laptop, HD+ Display, AMD Ryzen 5 7520U, 16 GB RAM, 512 GB SSD, AMD Radeon Graphics, Windows 11 Home, Natural Silver, 17-cp2199nr",4.4,295,$499.99,499.99,$524.70,524.7,"['FREE delivery Thu, Dec 18', 'Or fastest delivery Tomorrow, Dec 14']",,,,False,business laptop,1
Amazon_B0G2S5G3YJ,Amazon,B0G2S5G3YJ,20,False,Dell,"Dell 16"" Touchscreen Business Laptop 2025 New, 16 inch FHD+ WUXGA, Intel Core 7 150U, 32 GB DDR5 5600MHz, 2 TB SSD, FHD Camera, Backlit Keyboard, Windows 11 Pro",4.2,1700,"$1,099.99",1099.99,"$3,599.99",3599.99,"['FREE delivery Tue, Dec 16']",,,,False,business laptop,1
Amazon_B09R6FNNS1,Amazon,B09R6FNNS1,21,False,Dell,"Dell 15 Laptop DC15250-15.6-inch FHD 120Hz Display, Intel Core 3 Processor 100U Processor, 8GB DDR4 RAM, 512GB SSD, Intel UHD Graphics, Windows 11 Home, Onsite Service - Carbon Black",4.4,247,$325.99,325.99,$399.99,399.99,"['FREE delivery Thu, Dec 18', 'Or fastest delivery Tomorrow, Dec 14']",,,,False,business laptop,1
Amazon_B0FSZHZY5H,Amazon,B0FSZHZY5H,22,True,N/A,"Laptop Computer Ultrabook, AMD Ryzen7 8745HS, 16in 2560x1600 QHD, Backlit Keyboard, Radeon 780M Graphics, DDR5 5600MHz RAM, PCIe SSD, Portable for Student/Home/Business/Workstation/Gaming【U6B】",4.9,17,$607.77,607.77,N/A,0.0,"['FREE delivery Fri, Dec 19']",,,,False,business laptop,1
Amazon_B0FV11RJV2,Amazon,B0FV11RJV2,1,False,HP,"HP 17 Inch Business Laptop, 17.3'' FHD IPS Anti-Glare Display, AMD Ryzen 5 7430U (Beats Core i7-1355U), 8GB RAM, 756GB Storage (256GB SSD + 500GB External), HDMI, Windows 11 Home, Wi-Fi 6, Silver",4.6,1400,$499.99,499.99,$999.99,999.99,"['FREE delivery Dec 19 - 23', 'Or fastest delivery Tue, Dec 16']",,,,False,business laptop,2
Amazon_B0DXQGJVXK,Amazon,B0DXQGJVXK,3,False,Lenovo,"Lenovo V15 Business Laptop, 15.6"" FHD Display, Intel Dual-Core CPU, 16GB DDR4 RAM, 256GB PCIe SSD, WiFi 6, Bluetooth 5.2, RJ-45, Type-C, HDMI, Numeric Keypad, Black, Windows 11 Pro (Renewed)",3.9,4,$269.00,269.0,N/A,0.0,"['FREE delivery Thu, Dec 18', 'Or fastest delivery Mon, Dec 15']",,,,False,business laptop,2
Amazon_B0D95JDYNW,Amazon,B0D95JDYNW,5,False,Lenovo,"Lenovo ThinkBook 16 Gen 7 Business Laptop (16"" FHD+ Anti-Glare, AMD Ryzen 5 7533HS (> i7-1255U), 16GB DDR5 RAM, 512GB SSD), Fingerprint Reader, Webcam, Ethernet, Wi-Fi 6, Win 11 Pro w/ Copilot, Grey",4.1,89,$499.98,499.98,$599.99,599.99,"['FREE delivery Wed, Dec 17', 'Or fastest delivery Tue, Dec 16']",,,,False,business laptop,2
Amazon_B09M5WJWZR,Amazon,B09M5WJWZR,6,False,HP,"HP 2023 Business Laptop, 17.3"" Touchscreen Display, AMD Ryzen 5 7530U(6-core), 64GB RAM, 4TB SSD, AMD Radeon Graphics, WiFi 6, Bluetooth, USB Type A&C, Windows 11 Home",4.5,21,"$1,239.00",1239.0,N/A,0.0,"['FREE delivery Tue, Dec 16']",,,,False,business laptop,2
Amazon_B0CTPCTW66,Amazon,B0CTPCTW66,8,False,Dell,"Dell Inspiron Touchscreen Laptop, 15.6"" Business & Student Laptop Computer, Windows 11 Pro Laptop 32GB RAM 1TB SSD, Intel i5-1155G7 Processor, Full HD IPS Display, Numeric Keypad, HDMI, Carbon Black",4.2,871,$568.00,568.0,N/A,0.0,"['FREE delivery Wed, Dec 17']",,,,False,business laptop,2
Amazon_B0CC936WF1,Amazon,B0CC936WF1,9,False,Dell,"Dell Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM, 1TB PCIe SSD, Numeric Keypad, Wi-Fi, Webcam, HDMI, Black",4.3,578,$482.77,482.77,N/A,0.0,"['FREE delivery Wed, Dec 17']",,,,False,business laptop,2
Amazon_B0FZ9VZZJF,Amazon,B0FZ9VZZJF,10,False,HP,"HP 17t Laptop Computer, 17.3"" FHD(1920×1080), Intel 10-Core i5-1334U, Backlit KB, Fingerprint, Window 11 Pro Laptop for Business & Students, Redragon Patent Kit, 16GB RAM, 1TB SSD",4.5,648,$859.99,859.99,"$2,999.99",2999.99,"['FREE delivery Tue, Dec 16']",,,,False,business laptop,2
Amazon_B0FT56L8SB,Amazon,B0FT56L8SB,11,False,Lenovo,"Lenovo Laptop Computer for Business Home, Intel Octa-Core i5-13420H, 16GB DDR5 RAM, 512GB PCIe SSD, Bluetooth 5.2, WiFi 6, IdeaPad 15"" FHD+, Copilot AI PC, Luna Grey, Windows 11 Home",4.7,18,$479.99,479.99,$899.00,899.0,"['FREE delivery Fri, Dec 19', 'Or fastest delivery Tue, Dec 16']",,,,False,business laptop,2
Amazon_B0CGHZ31VM,Amazon,B0CGHZ31VM,12,False,Lenovo,"Lenovo ThinkPad E16 Business Laptop (16"" FHD+ Display, AMD Ryzen 5 7530U(> Intel i7-1165G7), 16GB RAM, 512GB SSD) Fingerprint, Backlit, 1080p Webcam, WiFi 6, Ethernet, Win 11 Pro w/ Copilot, Black",4.5,59,$699.99,699.99,N/A,0.0,"['FREE delivery Wed, Dec 17', 'Or fastest delivery Tue, Dec 16']",,,,False,business laptop,2
Amazon_B0B2D77YB8,Amazon,B0B2D77YB8,13,False,HP,"HP 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S",4.1,1900,$248.88,248.88,N/A,0.0,"['FREE delivery Thu, Dec 18']",,,,False,business laptop,2
Amazon_B0G194K6YX,Amazon,B0G194K6YX,14,False,HP,"HP Business and Study Laptop 2025 Updated, 15.6"" FHD, AMD Ryzen 7 7730U (32GB RAM | 1TB SSD), Numeric Keypad, Webcam, Windows 11 Pro+ Copilot AI, WiFi 6& Bluetooth with 5-in-1 Accessory Kit Box",4.8,16,$799.99,799.99,"$3,299.99",3299.99,"['FREE delivery Dec 19 - 23', 'Or fastest delivery Dec 18 - 19']",,,,False,business laptop,2
Amazon_B0947BJ67M,Amazon,B0947BJ67M,15,False,HP,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",4.1,4500,$171.68,171.68,$229.99,229.99,"['FREE delivery Dec 21 - 29', 'Or fastest delivery Dec 21 - 23']",,,,False,business laptop,2
Amazon_B0D4RH881B,Amazon,B0D4RH881B,16,False,HP,"HP 255 G10 15.6"" FHD Business Laptop, AMD Ryzen 7 7730U, 32GB RAM, 1TB PCIe SSD, Numeric Keypad, Webcam, Wi-Fi 6, HDMI, Windows 11 Pro, Black",4.1,423,$619.00,619.0,N/A,0.0,"['FREE delivery Tue, Dec 16']",,,,False,business laptop,2
Amazon_B0DGT976WN,Amazon,B0DGT976WN,1,True,N/A,"Laptop Computer, 16GB RAM Laptop 256GB SSD, 6500Y Processor, 15.6 Inch 1080P IPS Display Laptop for School, Business, Support WiFi 5, BT 5.2",4.5,55,$229.00,229.0,$249.00,249.0,"['FREE delivery Thu, Dec 18', 'Or fastest delivery Mon, Dec 15']",,,,False,business laptop,3
Amazon_B0F2K23VJD,Amazon,B0F2K23VJD,4,False,Dell,"Dell 16 Plus Laptop DB16250-16.0-inch 16:10 2.5K (2560x1600) Display, Intel Core Ultra 9 288V, 32GB LPDDR5X Memory, 2TB SSD, Intel Arc Graphics, Backlit Copilot Key Keyboard - Previously Inspiron",4.1,116,"$1,099.99",1099.99,"$1,549.99",1549.99,"['FREE delivery Thu, Dec 18', 'Or fastest delivery Mon, Dec 15']",,,,True,business laptop,3
Amazon_B0FJ7XBPQ3,Amazon,B0FJ7XBPQ3,5,False,HP,"HP Envy 17 Touchscreen Laptop - 17.3"" FHD Business Laptop | Intel 16-Core Ultra 7-155H | Intel Arc Graphics | Backlit Keyboard | Wi-Fi 7 | 64GB DDR5 + 4TB SSD | Windows 11 Pro | with Accessories",4.3,127,"$1,899.99",1899.99,N/A,0.0,"['FREE delivery Tue, Dec 16']",,,,False,business laptop,3
Amazon_B0FWJRS4VJ,Amazon,B0FWJRS4VJ,6,False,N/A,"15.6 Inch Laptop with Office 365, 4GB RAM, 128GB Storage Expandable 1TB, 5205U Processor, HD Display, Windows 11 Laptops Computer, Wi-Fi 5, BT4.2, Numpad, Type-C, for Business and Students.",4.1,133,$279.99,279.99,N/A,0.0,"['FREE delivery Thu, Dec 18', 'Or fastest delivery Mon, Dec 15']",,,,False,business laptop,3
Amazon_B0FQ66D53B,Amazon,B0FQ66D53B,7,False,Lenovo,"Lenovo 14 G4 - Laptop for Business - Intel Core i7-13620H - 14"" FHD Display - 8GB RAM (upgradable to 16GB) - 256GB Storage (upgradable to 1TB) - Windows 11 Home - Thin & Portable - Business Black",4.7,13,$421.07,421.07,$549.99,549.99,"['FREE delivery Thu, Dec 18', 'Or fastest delivery Wed, Dec 17']",,,,False,business laptop,3
Amazon_B0FMFRQKRD,Amazon,B0FMFRQKRD,10,False,Lenovo,"Lenovo New V15 Business Laptop 2025/2026 Edition, 15.6"" FHD Display, Intel High-Performance CPU, 16GB RAM, 1TB SSD, Windows 11 with Microsoft Office, Ultra-Quiet Design, Long Battery Life. WOWPC",4.2,45,$399.99,399.99,N/A,0.0,"['FREE delivery Dec 22 - 29', 'Or fastest delivery Dec 18 - 22']",,,,False,business laptop,3
Amazon_B0FRS5YZ68,Amazon,B0FRS5YZ68,11,True,N/A,"2025 Latest 14'' Laptop Compatible with Windows 11, 8GB RAM 512GB SSD, Quad-Core Processor(2.9GHz), 1080P Full HD Display, TF Card Slot, USB 3.2 Gen1, Mini-HDMI, WiFi5, Bluetooth 5, Webcam, Silver",4.2,7,$219.99,219.99,N/A,0.0,"['FREE delivery Fri, Dec 19']",,,,False,business laptop,3
Amazon_B0DR283S3Q,Amazon,B0DR283S3Q,13,False,Dell,"Dell Latitude 5550 5000 Business AI PC Laptop (15.6"" FHD Anti-Glare, Intel 12-Core Ultra 5 125U (Beat i7-1355U), 32GB DDR5 RAM, 1TB SSD) Backlit, FHD RGB Webcam, Thunderbolt 4, Ethernet, Win 11 Pro",4.3,18,"$1,249.99",1249.99,N/A,0.0,"['FREE delivery Wed, Dec 17', 'Or fastest delivery Tue, Dec 16']",,,,False,business laptop,3
Amazon_B0DZQCTH92,Amazon,B0DZQCTH92,14,False,HP,"HP 15.6 inch Laptop, HD Touchscreen Display, AMD Ryzen 3 7320U, 8 GB RAM, 128 GB SSD, AMD Radeon Graphics, Windows 11 Home in S Mode, Natural Silver, 15- fc0099nr",4.5,996,$329.99,329.99,$356.28,356.28,"['FREE delivery Mon, Dec 22']",,,,False,business laptop,3
Amazon_B0FWJTN45X,Amazon,B0FWJTN45X,15,False,Lenovo,"Lenovo IdeaPad Copilot+ Business Laptop - 16"" FHD+ Touchscreen - Intel 10-Core 7 240H(Beat Ultra 7 255U) - Facial Login IR Cam - Backlit KB - Win 11 Pro - Redrgon Bundle (32GB DDR5 | 2TB SSD)",4.5,334,"$1,234.99",1234.99,"$4,499.99",4499.99,"['FREE delivery Tue, Dec 16']",,,,False,business laptop,3
